SourceFile,LineNumber,ExtractedLine,OfferName,PriceIfPresent,OfferLane,Notes
public/analysis/china-financing-africa-deal-terms.html,21,The paid path is interpretation,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/analysis/china-financing-africa-deal-terms.html,21,"This topic is ideal for a custom memo or briefing because the user usually has a specific angle: a country, sector, investor audience, media project, or institution that needs the issue translated into action.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/china-financing-africa-deal-terms.html,23,"If the reader needs a country, sector, or deal-specific interpretation, the issue has moved from public analysis into paid intelligence.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/china-financing-africa-deal-terms.html,23,"Memo angle: compare terms, risks, stakeholders, and leverage.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/china-financing-africa-deal-terms.html,23,"Briefing angle: prepare a media segment, investor conversation, or internal decision.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/analysis/china-financing-africa-deal-terms.html,24,"Commission a custom memo when a project, sector, or country needs sharper strategic reading.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/china-financing-africa-deal-terms.html,24,View memo path,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/china-financing-africa-deal-terms.html,25,Public to paid intelligence,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/critical-minerals-data-access.html,21,"This topic proves the website's business thesis: public analysis can identify the issue, then paid work can convert it into a brief, memo, or audit for the specific audience that needs to act.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/critical-minerals-data-access.html,23,"This becomes a paid audit or memo when the reader needs to understand a value chain, content strategy, institutional opportunity, or risk map.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/critical-minerals-data-access.html,23,"Memo: minerals data, local actors, and deal implications.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/critical-minerals-data-access.html,23,Audit: turn a minerals issue into a media and research product lane.,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/critical-minerals-data-access.html,24,Request a custom memo or media intelligence audit when the public issue needs a practical action map.,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/critical-minerals-data-access.html,24,View audit path,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/critical-minerals-data-access.html,25,Custom memo path,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/diaspora-capital-remittances-strategic-power.html,21,From topic to paid intelligence,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/analysis/diaspora-capital-remittances-strategic-power.html,21,"This is the kind of issue that may begin as public analysis and become a paid memo. A reader may need a specific country lens, organizational interpretation, risk scan, or media-ready briefing.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/diaspora-capital-remittances-strategic-power.html,22,"Commission a custom intelligence memo when a capital, remittance, or diaspora strategy question needs structured interpretation.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/diaspora-capital-remittances-strategic-power.html,22,Request a custom memo,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/diaspora-capital-remittances-strategic-power.html,23,Custom intelligence memo,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,16,From Public Analysis to Paid Intelligence,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,16,"The business model is a trust ladder: public insight builds confidence, then qualified readers move into deeper paid products and advisory work.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,18,"Public analysis creates attention. Paid intelligence converts the right attention into useful action. Afrodescendant Ali's website is designed around that movement: visitor, trust, offer comprehension, CTA, inquiry or purchase, then logged outcome.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Qualified inquiry,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,19,Gumroad dossiers and bundles create a low-friction paid step.,Intelligence bundle,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,19,Paid advisory briefings apply the analysis to an urgent question.,Rapid advisory briefing,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,19,Media intelligence audits review the whole audience-to-revenue system.,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,20,"A serious inquiry should include the decision, deadline, context, and desired use of the analysis. That protects both sides. It prevents vague conversations and helps route the person toward the right lane.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Qualified inquiry,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,21,"The website should not merely display the brand. It should quietly sort visitor intent. Some visitors need media channels. Some need a dossier. Some need a briefing, memo, or audit. The design should make those next steps obvious.",Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,22,Choose the right paid path.,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,22,"Review the offer ladder and decide whether your question needs a dossier, briefing, memo, or audit.",Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,22,View paid work,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,23,Qualified inquiry,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Qualified inquiry,Offer or revenue reference found in public page copy.
public/analysis/from-public-analysis-to-paid-intelligence.html,23,Media system audit logic,Media / intelligence system audit,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/index.html,39,"Essays on Pan-African geopolitics, diaspora power, East Africa, media systems, and the path from public analysis to paid briefings, memos, and audits.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/index.html,42,Primary buyer job,General offer / revenue reference,NOT FOUND IN LOCAL FILES,General site action,Offer or revenue reference found in public page copy.
public/analysis/index.html,43,Briefing / memo / audit,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Media / intelligence system audit,Offer or revenue reference found in public page copy.
public/analysis/index.html,82,"Current events become proof, specificity, and paid paths.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Proof / trust,Offer or revenue reference found in public page copy.
public/analysis/index.html,85,"The Analysis section now accepts source intake from public reporting such as AllAfrica Business, CFR-style foreign-affairs analysis, official institutions, and trusted local publishers. Each article is original interpretation with a visible source trail, a diaspora lever, and a recommended paid route.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/index.html,88,Request starter brief,Black World Intelligence Starter Brief,NOT FOUND IN LOCAL FILES,Lead capture / Starter brief,Offer or revenue reference found in public page copy.
public/analysis/index.html,123,"Offers From Public Analysis to Paid Intelligence The ladder from public insight to dossiers, briefings, memos, and media intelligence audits.",Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/analysis/index.html,125,From Public Analysis to Paid Intelligence,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/index.html,133,"Media Systems How Media Analysis Becomes a Content-to-Revenue System How serious analysis can become a clearer publishing, offer, CTA, and follow-up system.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/index.html,135,How Media Analysis Becomes a Content-to-Revenue System,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/index.html,136,"How serious analysis can become a clearer publishing, offer, CTA, and follow-up system.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/index.html,140,Free weekly briefing,Free weekly Afrodescendant Ali Briefings,NOT FOUND IN LOCAL FILES,Owned audience / Free briefing,Offer or revenue reference found in public page copy.
public/analysis/index.html,141,Track the signal before the paid path.,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/analysis/index.html,146,Subscribe free to Afrodescendant Ali Briefings,Free weekly Afrodescendant Ali Briefings,NOT FOUND IN LOCAL FILES,Owned audience / Free briefing,Offer or revenue reference found in public page copy.
public/analysis/index.html,150,No analysis matches that combination yet. Use a broader filter or request a custom memo.,Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/index.html,167,Media-to-revenue systems,General offer / revenue reference,NOT FOUND IN LOCAL FILES,General site action,Offer or revenue reference found in public page copy.
public/analysis/index.html,167,"How creators and institutions turn attention, research, and CTAs into qualified paid action.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/analysis/index.html,200,"Route the next action. Decide whether the reader needs an article, dossier, briefing, memo, or audit.",Geopolitical dossier / Gumroad catalog,NOT FOUND IN LOCAL FILES,Dossier / Bundle / Gumroad catalog,Offer or revenue reference found in public page copy.
public/analysis/index.html,211,Request a qualified briefing,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/analysis/kenya-fuel-shock-worker-mobility.html,16,"When fuel prices move, the story is not only transport. It is the price of work, food, daily timing, and urban survival.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/analysis/kenya-fuel-shock-worker-mobility.html,19,"Kenya's fuel-price pressure becomes politically important when it hits the matatu system. Matatus are not just vehicles. They are the circulatory system for workers, traders, students, market women, families, and small businesses that depend on daily movement.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/analysis/kenya-fuel-shock-worker-mobility.html,22,The paid intelligence angle,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Offer ladder,Offer or revenue reference found in public page copy.
public/analysis/kenya-fuel-shock-worker-mobility.html,22,"This is the kind of issue that can support a rapid advisory briefing: what is happening, who is exposed, what second-order risks matter, and which audience or business decision needs a clearer read.",Rapid advisory briefing,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/analysis/kenya-fuel-shock-worker-mobility.html,23,"Spreadsheet intake: May 15, 2026 Kenya transport and fuel-price rows.",General offer / revenue reference,NOT FOUND IN LOCAL FILES,Public analysis,Offer or revenue reference found in public page copy.
public/analysis/kenya-fuel-shock-worker-mobility.html,23,AllAfrica / Capital FM: public response to Kenya fuel-price hike,General offer / revenue reference,NOT FOUND IN LOCAL FILES,General site action,Offer or revenue reference found in public page copy.
public/analysis/kenya-fuel-shock-worker-mobility.html,24,"If this issue affects your audience, investment, reporting, or organizational planning, the likely paid path is a rapid briefing or custom memo.",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
public/analysis/kenya-fuel-shock-worker-mobility.html,24,Briefing question: What should my audience understand this week?,General offer / revenue reference,NOT FOUND IN LOCAL FILES,Rapid advisory briefing,Offer or revenue reference found in public page copy.
public/analysis/kenya-fuel-shock-worker-mobility.html,24,"Memo question: What are the risks and opportunities for a specific country, sector, or audience?",Custom intelligence memo,NOT FOUND IN LOCAL FILES,Custom intelligence memo,Offer or revenue reference found in public page copy.
