LocalPath,SuggestedLiveURL,TitleTag,MetaDescription,CanonicalURL,OpenGraphTitle,OpenGraphDescription,OpenGraphImage,TwitterTitle,TwitterDescription,StructuredDataPresent,MissingMetadata,Notes
public/about.html,https://www.afrodescendantali.com/about.html,Afrodescendant Ali | About,"About Afrodescendant Ali: Pan-African geopolitics, history, diaspora power, and strategic analysis anchored from an East Africa operating base.",https://www.afrodescendantali.com/about.html,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,Yes,Open Graph title; Open Graph description; Open Graph image; Twitter title; Twitter description,Canonical matches the inferred live URL.
public/analysis/china-financing-africa-deal-terms.html,https://www.afrodescendantali.com/analysis/china-financing-africa-deal-terms.html,China Financing in Africa and the Power of Deal Terms | Afrodescendant Ali,"Original analysis on China-backed financing in Africa, infrastructure deal terms, diaspora capital, and strategic interpretation.",https://www.afrodescendantali.com/analysis/china-financing-africa-deal-terms.html,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,Yes,Open Graph title; Open Graph description; Open Graph image; Twitter title; Twitter description,Canonical matches the inferred live URL.
public/analysis/critical-minerals-data-access.html,https://www.afrodescendantali.com/analysis/critical-minerals-data-access.html,"Critical Minerals, Data Access, and Black Strategic Power | Afrodescendant Ali","Original Pan-African analysis on minerals data, critical supply chains, community access, procurement power, and Black-world strategic leverage.",https://www.afrodescendantali.com/analysis/critical-minerals-data-access.html,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,Yes,Open Graph title; Open Graph description; Open Graph image; Twitter title; Twitter description,Canonical matches the inferred live URL.
public/analysis/diaspora-capital-remittances-strategic-power.html,https://www.afrodescendantali.com/analysis/diaspora-capital-remittances-strategic-power.html,"Diaspora Capital, Remittances, and Strategic Power | Afrodescendant Ali","An analysis of diaspora capital, remittances, and why money movement is a strategic issue for Pan-African power.",https://www.afrodescendantali.com/analysis/diaspora-capital-remittances-strategic-power.html,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,Yes,Open Graph title; Open Graph description; Open Graph image; Twitter title; Twitter description,Canonical matches the inferred live URL.
public/analysis/from-public-analysis-to-paid-intelligence.html,https://www.afrodescendantali.com/analysis/from-public-analysis-to-paid-intelligence.html,From Public Analysis to Paid Intelligence | Afrodescendant Ali,"How public Pan-African analysis turns into dossiers, paid advisory briefings, custom intelligence memos, and system audits.",https://www.afrodescendantali.com/analysis/from-public-analysis-to-paid-intelligence.html,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,Yes,Open Graph title; Open Graph description; Open Graph image; Twitter title; Twitter description,Canonical matches the inferred live URL.
public/analysis/index.html,https://www.afrodescendantali.com/analysis/,Analysis | Afrodescendant Ali,"Pan-African analysis on geopolitics, diaspora strategy, East Africa, remittance capital, media systems, and paid intelligence pathways.",https://www.afrodescendantali.com/analysis/,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,Yes,Open Graph title; Open Graph description; Open Graph image; Twitter title; Twitter description,Canonical matches the inferred live URL.
public/analysis/kenya-fuel-shock-worker-mobility.html,https://www.afrodescendantali.com/analysis/kenya-fuel-shock-worker-mobility.html,Kenya Fuel Shock and the Politics of Worker Mobility | Afrodescendant Ali,"Original Pan-African analysis on Kenya fuel-price pressure, matatu fares, worker mobility, energy security, and the paid intelligence path.",https://www.afrodescendantali.com/analysis/kenya-fuel-shock-worker-mobility.html,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,Yes,Open Graph title; Open Graph description; Open Graph image; Twitter title; Twitter description,Canonical matches the inferred live URL.
public/analysis/media-analysis-content-revenue-system.html,https://www.afrodescendantali.com/analysis/media-analysis-content-revenue-system.html,How Media Analysis Becomes a Content-to-Revenue System | Afrodescendant Ali,"How public media analysis can become a content-to-revenue system through offers, CTAs, lead capture, and follow-up.",https://www.afrodescendantali.com/analysis/media-analysis-content-revenue-system.html,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,Yes,Open Graph title; Open Graph description; Open Graph image; Twitter title; Twitter description,Canonical matches the inferred live URL.
public/analysis/nigeria-refinery-ownership-energy-security.html,https://www.afrodescendantali.com/analysis/nigeria-refinery-ownership-energy-security.html,"Nigeria Refinery Power, Ownership, and Energy Security | Afrodescendant Ali","Original Black-world intelligence analysis on Nigeria refinery politics, ownership, fuel imports, energy security, and diaspora capital.",https://www.afrodescendantali.com/analysis/nigeria-refinery-ownership-energy-security.html,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,Yes,Open Graph title; Open Graph description; Open Graph image; Twitter title; Twitter description,Canonical matches the inferred live URL.
public/analysis/strategic-clarity-changing-pan-african-world.html,https://www.afrodescendantali.com/analysis/strategic-clarity-changing-pan-african-world.html,Strategic Clarity for a Changing Pan-African World | Afrodescendant Ali,"A public analysis essay on why Pan-African intelligence must connect history, power, geopolitics, and practical decision-making.",https://www.afrodescendantali.com/analysis/strategic-clarity-changing-pan-african-world.html,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,NOT FOUND IN LOCAL FILES,Yes,Open Graph title; Open Graph description; Open Graph image; Twitter title; Twitter description,Canonical matches the inferred live URL.
