SourceFile,PageName,CTA_Text,DestinationURL,OfferLane,ReaderIntent,Status,Notes
public/analysis/china-financing-africa-deal-terms.html,China Financing in Africa and the Power of Deal Terms,View memo path,../work/memo.html,Custom intelligence memo,"Learn, evaluate authority, or choose the next path",Active internal route,Line 24. Resolved to an existing local file.
public/analysis/china-financing-africa-deal-terms.html,China Financing in Africa and the Power of Deal Terms,Public to paid intelligence,from-public-analysis-to-paid-intelligence.html,Public analysis,"Learn, evaluate authority, or choose the next path",Active internal route,Line 25. Resolved to an existing local file.
public/analysis/china-financing-africa-deal-terms.html,China Financing in Africa and the Power of Deal Terms,How the method works,../method.html,Method / trust,"Learn, evaluate authority, or choose the next path",Active internal route,Line 25. Resolved to an existing local file.
public/analysis/critical-minerals-data-access.html,"Critical Minerals, Data Access, and Black Strategic Power",View audit path,../work/audit.html,Media / intelligence system audit,"Learn, evaluate authority, or choose the next path",Active internal route,Line 24. Resolved to an existing local file.
public/analysis/critical-minerals-data-access.html,"Critical Minerals, Data Access, and Black Strategic Power",Custom memo path,../work/memo.html,Custom intelligence memo,Navigate to a related action,Active internal route,Line 25. Resolved to an existing local file.
public/analysis/diaspora-capital-remittances-strategic-power.html,"Diaspora Capital, Remittances, and Strategic Power",Request a custom memo,../contact.html,Custom intelligence memo,Request or qualify personalized work,Active internal route,Line 22. Resolved to an existing local file.
public/analysis/diaspora-capital-remittances-strategic-power.html,"Diaspora Capital, Remittances, and Strategic Power",Custom intelligence memo,../work.html,Custom intelligence memo,Navigate to a related action,Active internal route,Line 23. Resolved to an existing local file.
public/analysis/diaspora-capital-remittances-strategic-power.html,"Diaspora Capital, Remittances, and Strategic Power",Contact,../contact.html,Qualified inquiry,Request or qualify personalized work,Active internal route,Line 23. Resolved to an existing local file.
public/analysis/from-public-analysis-to-paid-intelligence.html,From Public Analysis to Paid Intelligence,View paid work,../work.html,Offer ladder,"Learn, evaluate authority, or choose the next path",Active internal route,Line 22. Resolved to an existing local file.
public/analysis/from-public-analysis-to-paid-intelligence.html,From Public Analysis to Paid Intelligence,Work page,../work.html,Offer ladder,Navigate to a related action,Active internal route,Line 23. Resolved to an existing local file.
public/analysis/from-public-analysis-to-paid-intelligence.html,From Public Analysis to Paid Intelligence,Qualified inquiry,../contact.html,Qualified inquiry,Request or qualify personalized work,Active internal route,Line 23. Resolved to an existing local file.
public/analysis/from-public-analysis-to-paid-intelligence.html,From Public Analysis to Paid Intelligence,Media system audit logic,media-analysis-content-revenue-system.html,Media / intelligence system audit,"Learn, evaluate authority, or choose the next path",Active internal route,Line 23. Resolved to an existing local file.
public/analysis/index.html,Analysis,See method,../method.html,Method / trust,"Learn, evaluate authority, or choose the next path",Active internal route,Line 87. Resolved to an existing local file.
public/analysis/index.html,Analysis,Request starter brief,../starter-brief.html,Lead capture / Starter brief,Request or qualify personalized work,Active internal route,Line 88. Resolved to an existing local file.
public/analysis/index.html,Analysis,"Source-fed / East Africa Kenya Fuel Shock and the Politics of Worker Mobility How fuel pressure, matatu fares, work access, and food costs become an intelligence issue.",kenya-fuel-shock-worker-mobility.html,Offer ladder,Navigate to a related action,Active internal route,Line 93. Resolved to an existing local file.
